chr= 1A
marker	composite	KPxKC_2012_1A	SynOp_GBS_antmap_1A	SynOp_GBS_binmap_1A	wsnp2013_1A
synopGBS120809	45.09	NA	NA	50	NA
synopGBS119246	46.09	NA	NA	51	NA
synopGBS119486	46.09	NA	NA	51	NA
IWA5762	48.03	NA	NA	NA	55.82
IWA5761	48.03	NA	NA	NA	55.82
IWA5760	48.03	NA	NA	NA	55.82
IWA8498	48.69	NA	NA	NA	56.48
synopGBS398	49.09	NA	26	55	NA
synopGBS399	49.09	NA	26	54	NA
synopGBS855	49.88	NA	26.79	59	NA
synopGBS124947	50.25	NA	NA	60	NA
synopGBS103714	50.25	NA	NA	60	NA
IWA1242	50.92	NA	NA	NA	58.71
IWA841	50.92	NA	NA	NA	58.71
synopGBS107540	51.25	NA	NA	61	NA
synopGBS107541	51.25	NA	NA	61	NA
IWA1166	51.42	NA	NA	NA	59.21
synopGBS114164	52.25	NA	NA	62	NA
synopGBS117767	52.25	NA	NA	62	NA
synopGBS118519	52.25	NA	NA	62	NA
synopGBS108211	52.25	NA	NA	62	NA
IWA4441	52.86	NA	NA	NA	60.65
synopGBS118451	53.25	NA	NA	63	NA
synopGBS118452	53.25	NA	NA	63	NA
synopGBS105761	53.25	NA	NA	63	NA
synopGBS119047	54.25	NA	NA	64	NA
synopGBS119048	54.25	NA	NA	64	NA
synopGBS101408	54.25	NA	NA	64	NA
synopGBS126164	55.25	NA	NA	65	NA
synopGBS123189	55.25	NA	NA	65	NA
synopGBS1016	56.25	NA	33.16	66	NA
synopGBS1017	56.25	NA	33.16	66	NA
synopGBS128725	56.25	NA	NA	66	NA
synopGBS102734	56.25	NA	NA	67	NA
synopGBS102735	56.25	NA	NA	67	NA
synopGBS119258	56.25	NA	NA	72	NA
synopGBS103947	57.25	NA	NA	73	NA
synopGBS116369	57.25	NA	NA	73	NA
IWA3235	57.93	0	NA	NA	62.05
IWA7410	57.93	NA	NA	NA	64.82
IWA2696	57.93	NA	NA	NA	64.82
IWA2059	57.93	NA	NA	NA	64.82
IWA5087	57.93	NA	NA	NA	65.72
IWA2434	57.93	NA	NA	NA	76.41
IWA2433	57.93	NA	NA	NA	76.41
IWA2526	57.93	NA	NA	NA	76.98
synopGBS101944	58.25	NA	NA	74	NA
synopGBS117061	59.25	NA	NA	75	NA
synopGBS111646	59.25	NA	NA	75	NA
synopGBS103613	59.25	NA	NA	75	NA
WMC177	59.33	1.4	NA	NA	NA
synopGBS104408	60.25	NA	NA	76	NA
CFA2201	61.13	3.2	NA	NA	NA
synopGBS112308	61.25	NA	NA	77	NA
synopGBS101091	61.25	NA	NA	77	NA
synopGBS113795	62.25	NA	NA	78	NA
synopGBS106857	62.25	NA	NA	78	NA
synopGBS108954	64.25	NA	NA	80	NA
synopGBS100025	64.25	NA	NA	80	NA
synopGBS104375	65.25	NA	NA	81	NA
synopGBS374	65.37	NA	42.28	82	NA
synopGBS123969	67.88	NA	NA	86	NA
synopGBS128105	67.88	NA	NA	86	NA
synopGBS128106	67.88	NA	NA	86	NA
IWA4830	67.99	NA	NA	NA	102.81
synopGBS112647	68.88	NA	NA	87	NA
synopGBS123043	68.88	NA	NA	87	NA
synopGBS123044	68.88	NA	NA	87	NA
synopGBS125416	68.88	NA	NA	87	NA
synopGBS112788	68.88	NA	NA	87	NA
IWA4385	69	NA	NA	NA	103.82
IWA3520	69	NA	NA	NA	103.82
synopGBS262	69.88	NA	46.79	90	NA
synopGBS105456	69.88	NA	NA	88	NA
synopGBS105457	69.88	NA	NA	88	NA
synopGBS128163	69.88	NA	NA	88	NA
synopGBS121219	69.88	NA	NA	88	NA
synopGBS121241	69.88	NA	NA	88	NA
synopGBS115237	69.88	NA	NA	88	NA
synopGBS129593	69.88	NA	NA	88	NA
synopGBS122429	69.88	NA	NA	89	NA
synopGBS122249	69.88	NA	NA	89	NA
synopGBS114760	77.88	NA	NA	98	NA
synopGBS114761	77.88	NA	NA	98	NA
synopGBS114762	77.88	NA	NA	98	NA
synopGBS114763	77.88	NA	NA	98	NA
synopGBS119286	77.88	NA	NA	98	NA
synopGBS126894	77.88	NA	NA	98	NA
synopGBS108681	77.88	NA	NA	98	NA
synopGBS124980	77.88	NA	NA	98	NA
synopGBS100381	77.88	NA	NA	99	NA
synopGBS110862	77.88	NA	NA	99	NA
synopGBS118345	77.88	NA	NA	99	NA
synopGBS118346	77.88	NA	NA	99	NA
synopGBS112765	77.88	NA	NA	100	NA
synopGBS105022	77.88	NA	NA	100	NA
synopGBS113840	77.88	NA	NA	100	NA
synopGBS113841	77.88	NA	NA	100	NA
synopGBS113842	77.88	NA	NA	100	NA
synopGBS113843	77.88	NA	NA	100	NA
synopGBS125577	77.88	NA	NA	100	NA
synopGBS116674	77.88	NA	NA	100	NA
synopGBS116073	77.88	NA	NA	100	NA
synopGBS107207	77.88	NA	NA	100	NA
synopGBS128800	77.88	NA	NA	100	NA
synopGBS113996	77.88	NA	NA	101	NA
synopGBS103333	77.88	NA	NA	101	NA
synopGBS103334	77.88	NA	NA	101	NA
synopGBS125796	77.88	NA	NA	101	NA
synopGBS112916	77.88	NA	NA	101	NA
synopGBS124804	77.88	NA	NA	101	NA
synopGBS104715	77.88	NA	NA	101	NA
synopGBS100146	77.88	NA	NA	101	NA
synopGBS125419	77.88	NA	NA	101	NA
synopGBS119780	77.88	NA	NA	101	NA
synopGBS119781	77.88	NA	NA	101	NA
synopGBS113593	77.88	NA	NA	102	NA
synopGBS106147	77.88	NA	NA	102	NA
synopGBS127785	77.88	NA	NA	102	NA
synopGBS101014	77.88	NA	NA	102	NA
synopGBS111685	77.88	NA	NA	102	NA
synopGBS111686	77.88	NA	NA	102	NA
synopGBS108334	77.88	NA	NA	102	NA
synopGBS114839	77.88	NA	NA	102	NA
synopGBS126494	77.88	NA	NA	102	NA
synopGBS126495	77.88	NA	NA	102	NA
synopGBS109942	77.88	NA	NA	102	NA
synopGBS129065	77.88	NA	NA	102	NA
synopGBS126450	77.88	NA	NA	102	NA
synopGBS126451	77.88	NA	NA	102	NA
synopGBS126452	77.88	NA	NA	102	NA
synopGBS112713	77.88	NA	NA	102	NA
synopGBS106092	77.88	NA	NA	102	NA
synopGBS114382	78.39	NA	NA	103	NA
synopGBS114383	78.39	NA	NA	103	NA
synopGBS121789	78.39	NA	NA	103	NA
synopGBS118385	78.39	NA	NA	103	NA
synopGBS118386	78.39	NA	NA	103	NA
synopGBS113850	78.39	NA	NA	103	NA
synopGBS113851	78.39	NA	NA	103	NA
synopGBS113852	78.39	NA	NA	103	NA
synopGBS113853	78.39	NA	NA	103	NA
synopGBS116457	78.39	NA	NA	103	NA
synopGBS112800	78.39	NA	NA	103	NA
synopGBS119024	78.39	NA	NA	103	NA
synopGBS125797	78.39	NA	NA	103	NA
synopGBS129795	78.39	NA	NA	103	NA
synopGBS100265	78.39	NA	NA	103	NA
synopGBS124132	78.39	NA	NA	103	NA
synopGBS124133	78.39	NA	NA	103	NA
synopGBS124134	78.39	NA	NA	103	NA
synopGBS124135	78.39	NA	NA	103	NA
synopGBS114809	78.39	NA	NA	103	NA
synopGBS119869	78.39	NA	NA	103	NA
synopGBS129648	78.39	NA	NA	103	NA
synopGBS111054	78.39	NA	NA	103	NA
synopGBS111055	78.39	NA	NA	103	NA
synopGBS111083	78.39	NA	NA	103	NA
synopGBS120143	78.39	NA	NA	103	NA
synopGBS112296	78.39	NA	NA	103	NA
synopGBS112297	78.39	NA	NA	103	NA
synopGBS124930	78.39	NA	NA	103	NA
synopGBS115336	78.39	NA	NA	103	NA
synopGBS117961	78.39	NA	NA	103	NA
synopGBS106099	78.39	NA	NA	103	NA
synopGBS126855	78.39	NA	NA	103	NA
IWA2067	78.63	20.7	NA	NA	113.98
IWA2731	78.63	20.7	NA	NA	114.51
IWA630	78.63	20.7	NA	NA	NA
IWA8424	78.63	20.7	NA	NA	113.45
WMC522	79.13	21.2	NA	NA	NA
synopGBS119058	79.39	NA	NA	104	NA
synopGBS102302	79.39	NA	NA	104	NA
synopGBS102303	79.39	NA	NA	104	NA
synopGBS107501	79.39	NA	NA	104	NA
synopGBS116290	79.39	NA	NA	104	NA
synopGBS124418	79.39	NA	NA	104	NA
synopGBS128112	79.39	NA	NA	104	NA
synopGBS103991	79.39	NA	NA	104	NA
synopGBS114340	79.39	NA	NA	104	NA
synopGBS119320	79.39	NA	NA	104	NA
synopGBS122530	79.39	NA	NA	104	NA
synopGBS124076	79.39	NA	NA	104	NA
IWA6566	79.95	NA	NA	NA	115.3
IWA6565	79.95	NA	NA	NA	115.3
IWA6564	79.95	NA	NA	NA	115.3
synopGBS104896	80.39	NA	NA	105	NA
synopGBS104897	80.39	NA	NA	105	NA
synopGBS111067	80.39	NA	NA	105	NA
synopGBS118326	80.39	NA	NA	105	NA
synopGBS118327	80.39	NA	NA	105	NA
synopGBS120555	80.39	NA	NA	105	NA
synopGBS120766	80.39	NA	NA	105	NA
synopGBS120767	80.39	NA	NA	105	NA
synopGBS108851	80.39	NA	NA	105	NA
synopGBS108852	80.39	NA	NA	105	NA
synopGBS121239	80.39	NA	NA	105	NA
synopGBS114114	80.39	NA	NA	105	NA
synopGBS103890	80.39	NA	NA	105	NA
synopGBS118989	81.39	NA	NA	106	NA
synopGBS106695	81.39	NA	NA	106	NA
synopGBS118536	81.39	NA	NA	106	NA
synopGBS106385	81.39	NA	NA	106	NA
synopGBS106386	81.39	NA	NA	106	NA
synopGBS116118	81.39	NA	NA	106	NA
synopGBS116119	81.39	NA	NA	106	NA
synopGBS116120	81.39	NA	NA	106	NA
synopGBS124546	81.39	NA	NA	106	NA
synopGBS109782	81.39	NA	NA	106	NA
synopGBS119271	81.39	NA	NA	106	NA
synopGBS120107	81.39	NA	NA	106	NA
synopGBS117630	82.39	NA	NA	107	NA
synopGBS108473	82.39	NA	NA	107	NA
synopGBS126745	82.39	NA	NA	107	NA
synopGBS126746	82.39	NA	NA	107	NA
synopGBS105373	82.39	NA	NA	107	NA
synopGBS128309	83.39	NA	NA	108	NA
synopGBS116654	83.39	NA	NA	108	NA
synopGBS128014	83.39	NA	NA	108	NA
IWA5023	84.38	NA	NA	NA	119.73
IWA5022	84.38	NA	NA	NA	119.73
synopGBS116670	84.39	NA	NA	109	NA
synopGBS100133	84.39	NA	NA	109	NA
synopGBS107208	84.39	NA	NA	109	NA
synopGBS116571	84.39	NA	NA	109	NA
synopGBS117626	84.39	NA	NA	109	NA
synopGBS113223	84.39	NA	NA	109	NA
synopGBS121358	84.39	NA	NA	109	NA
synopGBS119429	84.39	NA	NA	109	NA
synopGBS128655	84.39	NA	NA	109	NA
synopGBS126135	84.39	NA	NA	109	NA
synopGBS125159	85.39	NA	NA	110	NA
synopGBS113717	85.39	NA	NA	110	NA
synopGBS113718	85.39	NA	NA	110	NA
synopGBS192	86.39	NA	63.3	113	NA
synopGBS104577	86.39	NA	NA	111	NA
synopGBS104578	86.39	NA	NA	111	NA
synopGBS107121	86.39	NA	NA	111	NA
synopGBS122643	86.39	NA	NA	111	NA
synopGBS101955	86.39	NA	NA	112	NA
synopGBS105033	86.39	NA	NA	112	NA
synopGBS119028	86.39	NA	NA	112	NA
synopGBS120868	86.39	NA	NA	112	NA
synopGBS126330	87.07	NA	NA	113	NA
synopGBS111179	87.07	NA	NA	113	NA
synopGBS100423	87.07	NA	NA	113	NA
synopGBS10	88.07	NA	63.3	115	NA
synopGBS700	88.07	NA	64.98	124	NA
synopGBS747	88.07	NA	64.98	117	NA
synopGBS768	88.07	NA	64.98	124	NA
synopGBS873	88.07	NA	64.98	124	NA
synopGBS1082	88.07	NA	66.57	124	NA
synopGBS979	88.07	NA	66.57	129	NA
synopGBS1148	88.07	NA	67.4	114	NA
synopGBS1206	88.07	NA	67.4	124	NA
synopGBS1207	88.07	NA	67.4	124	NA
synopGBS1289	88.07	NA	68.14	117	NA
synopGBS1290	88.07	NA	68.14	117	NA
synopGBS1297	88.07	NA	68.14	114	NA
synopGBS1298	88.07	NA	68.14	114	NA
synopGBS1299	88.07	NA	68.14	114	NA
synopGBS1398	88.07	NA	68.99	123	NA
synopGBS1432	88.07	NA	68.99	123	NA
synopGBS1475	88.07	NA	70.7	114	NA
synopGBS101379	88.07	NA	NA	123	NA
synopGBS119870	88.07	NA	NA	123	NA
synopGBS106596	88.07	NA	NA	123	NA
synopGBS106879	88.07	NA	NA	123	NA
synopGBS106880	88.07	NA	NA	123	NA
synopGBS107038	88.07	NA	NA	123	NA
synopGBS107783	88.07	NA	NA	123	NA
synopGBS108475	88.07	NA	NA	123	NA
synopGBS109943	88.07	NA	NA	123	NA
synopGBS116725	88.07	NA	NA	123	NA
synopGBS120303	88.07	NA	NA	123	NA
synopGBS123109	88.07	NA	NA	123	NA
synopGBS123679	88.07	NA	NA	123	NA
synopGBS124815	88.07	NA	NA	123	NA
synopGBS100266	88.07	NA	NA	123	NA
synopGBS103701	88.07	NA	NA	123	NA
synopGBS103702	88.07	NA	NA	123	NA
synopGBS103703	88.07	NA	NA	123	NA
synopGBS104383	88.07	NA	NA	123	NA
synopGBS104961	88.07	NA	NA	123	NA
synopGBS104962	88.07	NA	NA	123	NA
synopGBS106119	88.07	NA	NA	123	NA
synopGBS116384	88.07	NA	NA	123	NA
synopGBS117161	88.07	NA	NA	123	NA
synopGBS119196	88.07	NA	NA	123	NA
synopGBS121026	88.07	NA	NA	123	NA
synopGBS127507	88.07	NA	NA	123	NA
synopGBS123342	88.07	NA	NA	123	NA
synopGBS111398	88.07	NA	NA	123	NA
synopGBS126729	88.07	NA	NA	123	NA
synopGBS126730	88.07	NA	NA	123	NA
synopGBS110431	88.07	NA	NA	123	NA
synopGBS126554	88.07	NA	NA	123	NA
synopGBS129090	88.07	NA	NA	123	NA
synopGBS129091	88.07	NA	NA	123	NA
synopGBS129855	88.07	NA	NA	123	NA
synopGBS128229	88.07	NA	NA	123	NA
synopGBS108031	88.07	NA	NA	123	NA
synopGBS108032	88.07	NA	NA	123	NA
synopGBS103180	88.07	NA	NA	123	NA
synopGBS105896	88.07	NA	NA	123	NA
synopGBS106140	88.07	NA	NA	123	NA
synopGBS114195	88.07	NA	NA	123	NA
synopGBS110074	88.07	NA	NA	123	NA
synopGBS110075	88.07	NA	NA	123	NA
IWA294	88.21	NA	NA	NA	123.56
IWA293	88.21	NA	NA	NA	123.56
synopGBS117903	89.07	NA	NA	124	NA
synopGBS118464	89.07	NA	NA	124	NA
synopGBS109911	89.07	NA	NA	124	NA
synopGBS113505	89.07	NA	NA	124	NA
synopGBS114598	89.07	NA	NA	124	NA
synopGBS114599	89.07	NA	NA	124	NA
synopGBS118883	89.07	NA	NA	124	NA
synopGBS118983	89.07	NA	NA	124	NA
synopGBS120142	89.07	NA	NA	124	NA
synopGBS123108	89.07	NA	NA	124	NA
synopGBS125997	89.07	NA	NA	124	NA
synopGBS101865	89.07	NA	NA	124	NA
synopGBS108049	89.07	NA	NA	124	NA
synopGBS117175	89.07	NA	NA	124	NA
synopGBS122229	89.07	NA	NA	124	NA
synopGBS122230	89.07	NA	NA	124	NA
synopGBS111210	89.07	NA	NA	124	NA
synopGBS115478	89.07	NA	NA	124	NA
synopGBS115479	89.07	NA	NA	124	NA
synopGBS115480	89.07	NA	NA	124	NA
synopGBS108338	89.07	NA	NA	124	NA
synopGBS108339	89.07	NA	NA	124	NA
synopGBS108340	89.07	NA	NA	124	NA
synopGBS115131	89.07	NA	NA	124	NA
synopGBS115132	89.07	NA	NA	124	NA
synopGBS127531	89.07	NA	NA	124	NA
synopGBS127532	89.07	NA	NA	124	NA
synopGBS104136	90.5	NA	NA	135	NA
synopGBS101651	90.5	NA	NA	135	NA
IWA991	90.9	NA	NA	NA	126.25
IWA901	90.9	NA	NA	NA	126.25
synopGBS122913	91.33	NA	NA	128	NA
synopGBS122914	91.33	NA	NA	128	NA
synopGBS117401	91.33	NA	NA	128	NA
synopGBS108616	91.33	NA	NA	128	NA
synopGBS916	91.5	NA	71.57	136	NA
synopGBS127716	91.5	NA	NA	137	NA
synopGBS127717	91.5	NA	NA	137	NA
synopGBS114826	91.5	NA	NA	137	NA
IWA2195	91.73	33.8	NA	NA	162.19
IWA2537	91.73	33.8	NA	NA	NA
IWA2604	91.73	33.8	NA	NA	NA
IWA2907	91.73	33.8	NA	NA	167.37
IWA2948	91.73	33.8	NA	NA	NA
IWA3368	91.73	33.8	NA	NA	NA
IWA3653	91.73	33.8	NA	NA	NA
IWA3839	91.73	33.8	NA	NA	NA
IWA3992	91.73	33.8	NA	NA	167.37
IWA5188	91.73	33.8	NA	NA	NA
IWA5219	91.73	33.8	NA	NA	NA
IWA5272	91.73	33.8	NA	NA	160.68
IWA5273	91.73	33.8	NA	NA	160.68
IWA5302	91.73	33.8	NA	NA	NA
IWA5303	91.73	33.8	NA	NA	NA
IWA5306	91.73	33.8	NA	NA	154.65
IWA5550	91.73	33.8	NA	NA	NA
IWA6753	91.73	33.8	NA	NA	NA
IWA677	91.73	33.8	NA	NA	NA
IWA7429	91.73	33.8	NA	NA	152.64
IWA7464	91.73	33.8	NA	NA	NA
IWA3294	91.73	NA	NA	NA	160.18
IWA8146	91.73	NA	NA	NA	162.19
IWA5305	91.73	NA	NA	NA	165.99
IWA812	91.73	NA	NA	NA	189.79
IWA5793	91.91	NA	NA	NA	127.26
IWA2006	91.91	NA	NA	NA	127.26
IWA11	92.33	34.4	NA	NA	NA
IWA1579	92.33	34.4	NA	NA	NA
synopGBS980	92.33	NA	72.4	129	NA
synopGBS110947	92.33	NA	NA	129	NA
synopGBS114256	92.33	NA	NA	129	NA
synopGBS107033	92.33	NA	NA	129	NA
synopGBS129284	92.33	NA	NA	129	NA
synopGBS129706	92.33	NA	NA	134	NA
synopGBS108746	92.33	NA	NA	134	NA
synopGBS108747	92.33	NA	NA	134	NA
synopGBS108748	92.33	NA	NA	134	NA
synopGBS108749	92.33	NA	NA	134	NA
synopGBS114997	92.33	NA	NA	134	NA
synopGBS128586	92.33	NA	NA	134	NA
synopGBS129765	92.33	NA	NA	134	NA
synopGBS106389	92.33	NA	NA	134	NA
synopGBS112672	92.5	NA	NA	138	NA
IWA3842	92.92	NA	NA	NA	140.78
IWA915	93.23	NA	NA	NA	128.58
synopGBS115586	93.36	NA	NA	139	NA
IWA2262	93.42	NA	NA	NA	141.28
IWA2531	93.8	NA	NA	NA	129.15
IWA4026	94.3	NA	NA	NA	129.65
IWA2002	94.43	36.5	NA	NA	NA
IWA3802	94.81	NA	NA	NA	130.16
IWA2733	94.93	37	NA	NA	148.82
IWA8502	94.93	37	NA	NA	147.82
IWA1103	94.93	37	NA	NA	NA
IWA1252	94.93	37	NA	NA	NA
IWA1274	94.93	37	NA	NA	NA
IWA1369	94.93	37	NA	NA	NA
IWA1370	94.93	37	NA	NA	NA
IWA1371	94.93	37	NA	NA	NA
IWA1496	94.93	37	NA	NA	NA
IWA1936	94.93	37	NA	NA	NA
IWA2296	94.93	37	NA	NA	NA
IWA2520	94.93	37	NA	NA	NA
IWA2549	94.93	37	NA	NA	NA
IWA2648	94.93	37	NA	NA	NA
IWA2654	94.93	37	NA	NA	NA
IWA2758	94.93	37	NA	NA	NA
IWA2831	94.93	37	NA	NA	NA
IWA3007	94.93	37	NA	NA	NA
IWA336	94.93	37	NA	NA	NA
IWA3427	94.93	37	NA	NA	NA
IWA3431	94.93	37	NA	NA	NA
IWA3946	94.93	37	NA	NA	NA
IWA4322	94.93	37	NA	NA	NA
IWA4627	94.93	37	NA	NA	NA
IWA4628	94.93	37	NA	NA	NA
IWA4815	94.93	37	NA	NA	NA
IWA5092	94.93	37	NA	NA	151.64
IWA533	94.93	37	NA	NA	NA
IWA534	94.93	37	NA	NA	NA
IWA5362	94.93	37	NA	NA	NA
IWA5378	94.93	37	NA	NA	142.79
IWA5425	94.93	37	NA	NA	NA
IWA5870	94.93	37	NA	NA	NA
IWA5993	94.93	37	NA	NA	NA
IWA673	94.93	37	NA	NA	NA
IWA7075	94.93	37	NA	NA	NA
IWA7548	94.93	37	NA	NA	NA
IWA8015	94.93	37	NA	NA	NA
IWA8016	94.93	37	NA	NA	NA
IWA8130	94.93	37	NA	NA	NA
IWA972	94.93	37	NA	NA	NA
IWA8453	94.93	NA	NA	NA	146.31
GWM95	95.23	37.3	NA	NA	NA
GWM372	95.23	37.3	NA	NA	NA
IWA3803	95.31	NA	NA	NA	130.66
IWA8491	95.31	NA	NA	NA	130.66
IWA343	95.31	NA	NA	NA	130.66
IWA314	95.31	NA	NA	NA	130.66
IWA424	95.31	NA	NA	NA	130.66
IWA69	96.16	NA	NA	NA	194.22
IWA33	96.16	NA	NA	NA	194.22
IWA32	96.16	NA	NA	NA	194.22
IWA2971	96.23	39.9	NA	NA	NA
IWA4623	96.23	39.9	NA	NA	NA
IWA7001	96.23	39.9	NA	NA	NA
IWA71	96.26	NA	NA	NA	194.32
IWA3151	96.26	NA	NA	NA	199.02
IWA3417	96.26	NA	NA	NA	201.21
IWA488	96.26	NA	NA	NA	201.21
synopGBS128697	96.36	NA	NA	142	NA
synopGBS126696	96.36	NA	NA	142	NA
IWA1174	96.6	NA	NA	NA	201.55
IWA690	97.33	37.3	NA	NA	137.36
IWA8328	97.33	39.4	NA	NA	137.36
IWA1256	97.33	41	NA	NA	130.66
IWA2245	97.33	41	NA	NA	131.66
IWA313	97.33	41	NA	NA	130.66
IWA4410	97.33	41	NA	NA	133.68
IWA5585	97.33	41	NA	NA	133.68
IWA6369	97.33	41	NA	NA	NA
IWA7248	97.33	41	NA	NA	NA
IWA7389	97.33	41	NA	NA	NA
IWA7705	97.33	41	NA	NA	133.68
IWA6514	97.33	NA	NA	NA	133.68
IWA6139	97.33	NA	NA	NA	133.68
IWA4027	97.33	NA	NA	NA	134.27
IWA3569	97.33	NA	NA	NA	134.27
IWA2159	97.33	NA	NA	NA	136.35
synopGBS113812	97.36	NA	NA	143	NA
IWA4904	98.34	NA	NA	NA	137.36
IWA581	98.34	NA	NA	NA	137.36
IWA3761	98.34	NA	NA	NA	139.77
synopGBS112398	98.36	NA	NA	144	NA
synopGBS127899	99.36	NA	NA	145	NA
synopGBS127818	99.36	NA	NA	145	NA
synopGBS127538	99.36	NA	NA	145	NA
synopGBS104705	100.36	NA	NA	146	NA
synopGBS122172	102.36	NA	NA	148	NA
synopGBS128616	102.36	NA	NA	148	NA
synopGBS104687	104.36	NA	NA	150	NA
synopGBS128236	104.36	NA	NA	150	NA
synopGBS157	105.36	NA	85.43	151	NA
synopGBS159	105.36	NA	85.43	151	NA
synopGBS553	106.17	NA	86.24	161	NA
synopGBS1428	107.05	NA	87.12	163	NA
synopGBS605	107.05	NA	87.12	164	NA
synopGBS103038	107.05	NA	NA	162	NA
synopGBS125449	107.05	NA	NA	162	NA
synopGBS114418	107.05	NA	NA	163	NA
synopGBS266	107.91	NA	87.98	164	NA
IWA3199	109.93	53.6	NA	NA	NA
IWA5449	109.93	53.6	NA	NA	NA
IWA5574	109.93	53.6	NA	NA	NA
IWA5640	109.93	53.6	NA	NA	NA
IWA6090	109.93	53.6	NA	NA	NA
IWA6270	109.93	53.6	NA	NA	NA
IWA7547	109.93	53.6	NA	NA	NA
synopGBS109131	110.11	NA	NA	173	NA
synopGBS116965	110.11	NA	NA	174	NA
synopGBS120785	111.11	NA	NA	175	NA
synopGBS120786	111.11	NA	NA	175	NA
synopGBS898	112.11	NA	92.18	177	NA
synopGBS121617	112.11	NA	NA	176	NA
synopGBS116508	113.15	NA	NA	179	NA
synopGBS116509	113.15	NA	NA	179	NA
synopGBS116510	113.15	NA	NA	179	NA
synopGBS116511	113.15	NA	NA	179	NA
synopGBS129762	113.15	NA	NA	180	NA
synopGBS119959	113.15	NA	NA	180	NA
synopGBS119960	113.15	NA	NA	180	NA
IWA2612	115.88	58.1	NA	NA	261.77
synopGBS550	116.15	NA	96.22	183	NA
IWA8606	116.19	NA	NA	NA	256.76
IWA542	116.19	NA	NA	NA	256.76
IWA4732	118.97	NA	NA	NA	264.86
IWA1275	119.47	61.8	NA	NA	265.36
IWA7339	119.47	NA	NA	NA	265.36
IWA4733	119.47	NA	NA	NA	265.36
synopGBS1073	120.15	NA	97.97	187	NA
synopGBS103962	120.15	NA	NA	187	NA
synopGBS124846	120.15	NA	NA	187	NA
synopGBS114886	120.15	NA	NA	187	NA
IWA8377	120.28	62.5	NA	NA	256.76
IWA4562	120.28	NA	NA	NA	260.85
synopGBS129	121.15	NA	97.97	188	NA
IWA200	121.52	NA	NA	NA	267.41
IWA2092	122.45	NA	NA	NA	268.34
IWA5214	122.58	64.8	NA	NA	NA
synopGBS1065	122.85	NA	99.67	194	NA
synopGBS129863	122.85	NA	NA	192	NA
synopGBS101036	122.85	NA	NA	193	NA
synopGBS119008	122.85	NA	NA	193	NA
IWA5215	125.88	68.1	NA	NA	275.45
IWA7433	125.88	68.1	NA	NA	275.45
IWA7593	126.48	68.7	NA	NA	NA
synopGBS121268	128.38	NA	NA	199	NA
synopGBS129127	128.38	NA	NA	199	NA
synopGBS100263	129.38	NA	NA	200	NA
synopGBS105013	129.38	NA	NA	200	NA
synopGBS127024	130.38	NA	NA	201	NA
IWA7148	130.67	NA	NA	NA	280.24
IWA6844	130.67	NA	NA	NA	280.24
IWA6499	130.67	NA	NA	NA	280.24
IWA5216	130.67	NA	NA	NA	280.24
synopGBS124269	131.38	NA	NA	202	NA
IWA6503	133.17	NA	NA	NA	282.74
synopGBS108431	133.38	NA	NA	204	NA
IWA2232	133.57	NA	NA	NA	299.28
IWA2231	133.57	NA	NA	NA	299.28
IWA2230	133.57	NA	NA	NA	299.28
IWA1987	133.57	NA	NA	NA	299.28
IWA1986	133.57	NA	NA	NA	299.28
synopGBS1259	134.38	NA	111.2	205	NA
synopGBS121134	134.38	NA	NA	205	NA
synopGBS121135	134.38	NA	NA	205	NA
IWA7876	134.78	77	NA	NA	NA
synopGBS106194	136.08	NA	NA	207	NA
synopGBS106195	136.08	NA	NA	207	NA
synopGBS441	137.08	NA	113.9	211	NA
synopGBS892	137.08	NA	113.9	208	NA
synopGBS103416	137.08	NA	NA	208	NA
synopGBS109359	137.08	NA	NA	208	NA
synopGBS109360	137.08	NA	NA	208	NA
synopGBS109361	137.08	NA	NA	208	NA
synopGBS128581	137.08	NA	NA	209	NA
synopGBS107872	137.08	NA	NA	209	NA
synopGBS107873	137.08	NA	NA	209	NA
synopGBS110799	137.08	NA	NA	210	NA
IWA1960	139.98	82.2	NA	NA	305.69
IWA8385	139.98	82.2	NA	NA	305.69
synopGBS674	140.32	NA	114.85	218	NA
synopGBS110993	140.32	NA	NA	215	NA
synopGBS112748	140.32	NA	NA	215	NA
synopGBS112749	140.32	NA	NA	215	NA
synopGBS128699	140.32	NA	NA	218	NA
synopGBS117923	141.32	NA	NA	219	NA
synopGBS786	142.09	NA	116.62	224	NA
synopGBS104873	142.09	NA	NA	220	NA
synopGBS109787	142.09	NA	NA	220	NA
synopGBS109788	142.09	NA	NA	220	NA
synopGBS109789	142.09	NA	NA	220	NA
synopGBS118437	142.09	NA	NA	223	NA
synopGBS100305	142.09	NA	NA	223	NA
synopGBS100306	142.09	NA	NA	223	NA
synopGBS110720	142.09	NA	NA	224	NA
synopGBS101928	142.09	NA	NA	224	NA
synopGBS127682	142.09	NA	NA	224	NA
synopGBS127683	142.09	NA	NA	224	NA
IWA1539	143.58	85.8	NA	NA	NA
synopGBS180	144.03	NA	118.56	231	NA
synopGBS291	144.03	NA	118.56	231	NA
synopGBS292	144.03	NA	118.56	231	NA
synopGBS483	144.03	NA	118.56	230	NA
synopGBS108330	144.03	NA	NA	230	NA
synopGBS119419	144.03	NA	NA	230	NA
synopGBS122565	144.03	NA	NA	230	NA
synopGBS113727	144.03	NA	NA	230	NA
